ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9994793,HY184132,03/13/2015 10:30:00 PM,016XX N WINCHESTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1434,014,32,24,14,1163050,1911241,2015,03/20/2015 12:42:30 PM,41.912092266,-87.67643246,"(41.912092266, -87.67643246)"
9993649,HY183674,03/13/2015 10:30:00 PM,032XX N HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1924,019,44,6,14,1170316,1921700,2015,03/20/2015 12:42:30 PM,41.940636455,-87.649432936,"(41.940636455, -87.649432936)"
9993522,HY183550,03/13/2015 10:30:00 PM,022XX N MANGO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2515,025,37,19,14,1137732,1914202,2015,03/20/2015 12:42:30 PM,41.920712022,-87.76937309,"(41.920712022, -87.76937309)"
9993510,HY183502,03/13/2015 10:26:00 PM,047XX W JACKSON BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1131,011,24,25,18,1144559,1898220,2015,03/20/2015 12:42:30 PM,41.876729688,-87.744691849,"(41.876729688, -87.744691849)"
9993907,HY183519,03/13/2015 10:19:00 PM,038XX W NORTH AVE,0460,BATTERY,SIMPLE,TAVERN/LIQUOR STORE,false,false,2535,025,30,23,08B,1150466,1910319,2015,03/20/2015 12:42:30 PM,41.909817378,-87.722686833,"(41.909817378, -87.722686833)"
9993578,HY183611,03/13/2015 10:19:00 PM,080XX S MANISTEE AVE,2027,NARCOTICS,POSS: CRACK,RESIDENCE,true,false,0422,004,7,46,18,1195945,1852079,2015,03/20/2015 12:42:30 PM,41.748994625,-87.557550737,"(41.748994625, -87.557550737)"
9993545,HY183496,03/13/2015 10:16:00 PM,004XX W EVERGREEN AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1821,018,27,8,08B,1173241,1909246,2015,03/20/2015 12:42:30 PM,41.906397605,-87.639053221,"(41.906397605, -87.639053221)"
9993535,HY183528,03/13/2015 10:15:00 PM,006XX W 54TH ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,0935,009,3,61,18,1172840,1869122,2015,03/20/2015 12:42:30 PM,41.796303078,-87.641713343,"(41.796303078, -87.641713343)"
9993509,HY183514,03/13/2015 10:15:00 PM,0000X W CHICAGO AVE,0560,ASSAULT,SIMPLE,OTHER,true,false,1832,018,42,8,08A,1175898,1905759,2015,03/20/2015 12:42:30 PM,41.896769683,-87.629398239,"(41.896769683, -87.629398239)"
9993518,HY183548,03/13/2015 10:15:00 PM,075XX S CLYDE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0414,004,8,43,14,1191556,1855294,2015,03/20/2015 12:42:30 PM,41.757924323,-87.573529354,"(41.757924323, -87.573529354)"
9993521,HY183551,03/13/2015 10:09:00 PM,008XX N LAWNDALE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,true,1112,011,27,23,26,1151528,1905280,2015,03/20/2015 12:42:30 PM,41.895969061,-87.718918042,"(41.895969061, -87.718918042)"
9994599,HY183516,03/13/2015 10:05:00 PM,027XX N HOYNE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,false,false,1931,019,1,7,14,1162391,1918021,2015,03/20/2015 12:42:30 PM,41.930710862,-87.678663283,"(41.930710862, -87.678663283)"
9993864,HY184000,03/13/2015 10:00:00 PM,052XX W LAWRENCE AVE,0870,THEFT,POCKET-PICKING,SIDEWALK,false,false,1623,016,45,11,06,1140613,1931456,2015,03/20/2015 12:42:30 PM,41.968006187,-87.758362295,"(41.968006187, -87.758362295)"
9993655,HY183646,03/13/2015 10:00:00 PM,001XX E 74TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0323,003,6,69,08B,1178548,1855943,2015,03/20/2015 12:42:30 PM,41.760010628,-87.621182041,"(41.760010628, -87.621182041)"
9993769,HY183873,03/13/2015 10:00:00 PM,035XX W 25TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1024,010,22,30,07,1152822,1887120,2015,03/20/2015 12:42:30 PM,41.846110501,-87.714646154,"(41.846110501, -87.714646154)"
9993913,HY184067,03/13/2015 10:00:00 PM,032XX W HARRISON ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,true,1134,011,24,27,08A,1155060,1897225,2015,03/20/2015 12:42:30 PM,41.873795205,-87.706161895,"(41.873795205, -87.706161895)"
9993603,HY183503,03/13/2015 10:00:00 PM,046XX W WEST END AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1113,011,28,25,14,1145763,1900622,2015,03/20/2015 12:42:30 PM,41.883298316,-87.740210137,"(41.883298316, -87.740210137)"
9994143,HY184320,03/13/2015 10:00:00 PM,022XX N ROCKWELL ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1431,014,1,22,06,1158529,1915117,2015,03/20/2015 12:42:30 PM,41.92282212,-87.69293501,"(41.92282212, -87.69293501)"
9998367,HY188496,03/13/2015 10:00:00 PM,046XX W 72ND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0833,008,13,65,14,1146378,1856448,2015,03/20/2015 12:42:30 PM,41.762066761,-87.73907372,"(41.762066761, -87.73907372)"
9993852,HY183858,03/13/2015 10:00:00 PM,075XX S INGLESIDE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0624,006,8,69,07,1183824,1855341,2015,03/20/2015 12:42:30 PM,41.758237197,-87.601864426,"(41.758237197, -87.601864426)"
